ID,Name,Start,Finish,Predecessors,Phase,Module,Type
CONT-B04,"Cierre/apertura periodo, bloqueo asientos periodo cerrado",2026-09-16,2026-09-18,CONT-B03,F1,contabilidad,back
CONT-B05,"Libro diario, mayor, balance comprobación (API reportes)",2026-09-17,2026-09-22,CONT-B03,F1,contabilidad,back
CONT-F01,UI plan cuentas (árbol + CRUD),2026-08-11,2026-08-14,CONT-B02,F1,contabilidad,front
CONT-F02,"UI registro asiento manual (multi-línea, cuadre)",2026-08-28,2026-09-03,CONT-B03,F1,contabilidad,front
CONT-F03,"UI consultas: diario, mayor, balance",2026-09-23,2026-09-28,CONT-B05,F1,contabilidad,front
INV-B01,"Schema: productos, categorías, bodegas, stock, tipos movimiento",2026-08-04,2026-08-07,CAT-B01,F1,inventario,back
INV-B02,CRUD productos + variantes/UM + costo promedio,2026-08-10,2026-08-13,INV-B01,F1,inventario,back
INV-B03,Movimientos stock (entrada/salida/ajuste/transferencia) + kardex,2026-08-25,2026-08-31,INV-B02,F1,inventario,back
INV-B04,Reservas stock (ventas/compras/producción),2026-09-21,2026-09-23,INV-B03,F1,inventario,back
INV-B05,Alertas stock mínimo,2026-09-23,2026-09-24,INV-B03,F1,inventario,back
INV-F01,Mantenedor productos + categorías,2026-08-14,2026-08-19,INV-B02,F1,inventario,front
INV-F02,UI bodegas y stock actual por producto/bodega,2026-09-01,2026-09-03,INV-B03,F1,inventario,front
INV-F03,UI movimientos + kardex + transferencias,2026-09-04,2026-09-10,INV-B03,F1,inventario,front
INV-F04,UI alertas stock,2026-09-25,2026-09-28,INV-B05,F1,inventario,front
COMP-B01,"Schema: proveedores, OC cab/det, recepciones, CxP",2026-08-11,2026-08-14,INV-B01;CONT-B01,F2,compras,back
COMP-B02,CRUD proveedores + contactos + condiciones comerciales,2026-08-28,2026-09-01,COMP-B01,F2,compras,back
COMP-B03,Flujo OC: borrador→aprobada→recibida→cerrada,2026-10-12,2026-10-16,COMP-B02;INV-B04,F2,compras,back
COMP-B04,Recepción→movimiento inventario + asiento contable automático,2026-10-28,2026-11-03,COMP-B03;INV-B03;CONT-B03,F2,compras,back
COMP-B05,"CxP: facturas proveedor, pagos, saldos",2026-11-04,2026-11-09,COMP-B04,F2,compras,back
COMP-F01,Mantenedor proveedores,2026-09-04,2026-09-08,COMP-B02,F2,compras,front
COMP-F02,UI orden compra (cabecera + líneas),2026-10-19,2026-10-23,COMP-B03,F2,compras,front
COMP-F03,UI recepción + listado OC pendientes,2026-10-19,2026-10-22,COMP-B03,F2,compras,front
COMP-F04,"UI CxP: facturas, pagos, estado cuenta",2026-11-10,2026-11-13,COMP-B05,F2,compras,front
VENT-B01,"Schema: clientes, listas precio, cotizaciones, pedidos, CxC",2026-08-14,2026-08-19,INV-B01;CONT-B01,F2,ventas,back
VENT-B02,CRUD clientes + segmentación + condiciones crédito,2026-09-02,2026-09-04,VENT-B01,F2,ventas,back
VENT-B03,Cotizaciones → conversión a pedido,2026-09-24,2026-09-29,VENT-B02,F2,ventas,back
VENT-B04,Pedido→reserva stock→despacho→movimiento inventario,2026-10-13,2026-10-19,VENT-B03;INV-B04,F2,ventas,back
VENT-B05,Facturación interna + asiento contable,2026-10-29,2026-11-03,VENT-B04;CONT-B03,F2,ventas,back
VENT-B06,"CxC: pagos, saldos, antigüedad",2026-11-04,2026-11-06,VENT-B05,F2,ventas,back
VENT-F01,Mantenedor clientes + listas precio,2026-09-09,2026-09-14,VENT-B02,F2,ventas,front
VENT-F02,UI cotización + conversión pedido,2026-09-30,2026-10-05,VENT-B03,F2,ventas,front
VENT-F03,UI pedidos + despacho + tracking,2026-10-23,2026-10-29,VENT-B04,F2,ventas,front
VENT-F04,UI facturación + CxC,2026-11-09,2026-11-12,VENT-B05;VENT-B06,F2,ventas,front
INT-SII-SPIKE-01,"Spike SII/DTE: sandbox API, certificados, flujo emisión mock",2026-09-14,2026-09-16,VENT-B01;CORE-B03,F2,integraciones,back
PROD-B01,"Schema: BOM, rutas, centros trabajo, OP",2026-08-17,2026-08-20,INV-B01,F3,produccion,back
PROD-B02,CRUD BOM multi-nivel + versionado,2026-09-07,2026-09-10,PROD-B01,F3,produccion,back
PROD-B03,OP: planificada→proceso→terminada; consumo MP + PT,2026-09-25,2026-10-01,PROD-B02;INV-B03,F3,produccion,back
PROD-B04,Costeo producción (MP+MOD+CIF) → asiento contable,2026-10-19,2026-10-22,PROD-B03;CONT-B03,F3,produccion,back
PROD-B05,Explosión materiales / MRP básico,2026-09-30,2026-10-05,PROD-B02;INV-B03,F3,produccion,back
PROD-F01,UI BOM (árbol componentes),2026-09-11,2026-09-16,PROD-B02,F3,produccion,front
PROD-F02,UI órdenes producción + consumos/devoluciones,2026-10-02,2026-10-08,PROD-B03,F3,produccion,front
PROD-F03,UI MRP: sugerencias compra/producción,2026-10-06,2026-10-08,PROD-B05,F3,produccion,front
INT-CONT-01,"ContabilizacionService: eventos→asientos (compras, ventas, inv, prod)",2026-11-09,2026-11-13,CONT-B03;COMP-B04;VENT-B05,F3,contabilidad,back
INT-CONT-02,Config cuentas contables por tipo transacción (empresa),2026-11-16,2026-11-18,INT-CONT-01,F3,contabilidad,back
INT-CONT-F01,UI configuración contable automática,2026-11-19,2026-11-23,INT-CONT-02,F3,contabilidad,front
RRHH-B01,"Schema: empleados, contratos, cargos, deptos, parámetros nómina",2026-08-20,2026-08-24,CAT-B01;CONT-B01,F4,rrhh,back
RRHH-B02,CRUD empleados + documentos + historial,2026-09-11,2026-09-15,RRHH-B01,F4,rrhh,back
RRHH-B03,"Proceso nómina mensual: haberes, descuentos, líquido",2026-10-06,2026-10-12,RRHH-B02,F4,rrhh,back
RRHH-B04,"Contabilización nómina (provisiones, imposiciones)",2026-11-20,2026-11-24,RRHH-B03;INT-CONT-01,F4,rrhh,back
RRHH-B05,"Vacaciones, permisos, licencias (workflow básico)",2026-10-07,2026-10-09,RRHH-B02,F4,rrhh,back
RRHH-F01,Ficha empleado + organigrama,2026-09-16,2026-09-21,RRHH-B02,F4,rrhh,front
RRHH-F02,UI proceso nómina + liquidaciones PDF,2026-10-13,2026-10-16,RRHH-B03,F4,rrhh,front
RRHH-F03,UI vacaciones/permisos,2026-10-14,2026-10-15,RRHH-B05,F4,rrhh,front
INT-B01,"Módulo integraciones base (logs, reintentos, @nestjs/schedule)",2026-10-02,2026-10-06,CORE-B03;INT-SII-SPIKE-01,F4,integraciones,back
INT-B02,"Facturación electrónica SII/DTE: emisión, timbraje, envío, estado",2026-11-10,2026-11-19,VENT-B05;INT-B01;INT-SII-SPIKE-01,F4,integraciones,back
INT-B03,Conciliación bancaria: import cartola + match CxP/CxC,2026-11-19,2026-11-25,COMP-B05;VENT-B06,F4,integraciones,back
INT-B04,Export contable formato estándar,2026-10-20,2026-10-22,CONT-B05,F4,integraciones,back
INT-F01,UI panel integraciones + logs sync,2026-10-09,2026-10-13,INT-B01,F4,integraciones,front
INT-F02,UI emisión DTE + seguimiento estado SII,2026-11-20,2026-11-25,INT-B02,F4,integraciones,front
INT-F03,UI conciliación bancaria,2026-11-26,2026-12-01,INT-B03,F4,integraciones,front
REP-B01,"API KPIs dashboard: ventas, compras, stock, flujo, CxC/CxP",2026-11-25,2026-11-30,VENT-B06;COMP-B05;INV-B03,F5,reportes,back
REP-B02,"Reportes financieros: EERR, balance, flujo efectivo",2026-10-23,2026-10-28,CONT-B05,F5,reportes,back
REP-B03,"Reportes operativos: rotación, ABC, prod vs plan",2026-10-23,2026-10-27,INV-B03;PROD-B03,F5,reportes,back
REP-B04,Export Excel/PDF centralizado,2026-12-01,2026-12-02,REP-B01,F5,reportes,back
REP-F01,Dashboard principal KPIs + recharts,2026-12-01,2026-12-04,REP-B01,F5,reportes,front
REP-F02,Módulo reportes financieros + operativos + export,2026-10-29,2026-11-04,REP-B02;REP-B03,F5,reportes,front
QA-01,Tests e2e flujos críticos (Jest/Supertest + smoke front),2026-12-07,2026-12-11,REP-F01,F5,qa,qa
QA-02,UAT usuarios clave + bugs P1/P2,2026-12-14,2026-12-18,QA-01,F5,qa,qa
DEP-01,"Docker prod, migraciones prod, nginx, backup DB",2026-12-21,2026-12-23,QA-02,F5,core,infra
DEP-02,Capacitación + documentación usuario + go-live,2026-12-24,2026-12-25,DEP-01,F5,core,infra
